ID_1,attn_dict_common
69,"{'737': [0.110877901, 0.07495380900000001, 0.241567135], 'max': [0.072680883, 0.045038652, 0.06460630099999999], 'boeing': [0.040770397, 0.031742137000000004, 0.076731138], 'aircraft': [0.11136799300000001, 0.102432847, 0.30091789399999996], 'crash': [0.036136761, 0.5615224839999999, 0.253966659]}"
70,"{'michel': [0.526904643, 0.8725464940000001, 0.23929885], 'ed': [0.07984899, 0.058221929000000006, 0.231493607], 'christian': [0.053237252, 0.005413928, 0.031734012], 'chopper': [0.221041307, 0.053663634, 0.01981725]}"
71,"{'mayawatis': [0.084510073, 0.513972998, 0.43474552], 'raided': [0.0756483, 0.0, 0.0], 'netram': [0.027703863999999998, 0.22564210000000004, 0.196802586], 'tax': [0.44627907899999997, 0.0, 0.22480270300000002], 'lucknow': [0.081590615, 0.22906306399999998, 0.58704108], 'mayawati': [0.047697637, 0.072716869, 0.051749233], 'raid': [0.5734338760000001, 0.096394069, 0.38927209399999996], 'bsp': [0.131505191, 0.19052183600000003, 0.141348794]}"
72,"{'congress': [0.153470114, 0.264169604, 0.545610785], 'gandhi': [0.294523209, 0.579311669, 0.32058695]}"
74,"{'max': [0.049537551, 0.045038652, 0.06460630099999999], '737': [0.104539841, 0.07495380900000001, 0.241567135], 'aircraft': [0.211151406, 0.102432847, 0.30091789399999996], 'boeing': [0.044917617, 0.031742137000000004, 0.076731138]}"
75,"{'prince': [0.300122947, 0.132534757, 0.13026489300000002], 'dhabi': [0.310642183, 0.226880088, 0.309028655], 'crown': [0.23286019300000002, 0.31639465699999997, 0.251446396], 'abu': [0.17731407300000002, 0.112765796, 0.21019744899999998], 'bin': [0.577206373, 0.06784968799999999, 0.0], 'zayed': [0.0, 0.120747335, 0.0]}"
76,"{'crash': [0.337636977, 0.5421212910000001, 0.530807197], 'airline': [0.51916194, 0.461638004, 0.518074155], 'plane': [0.27539393300000004, 0.214584246, 0.717913985], 'ethiopian': [0.073199309, 0.039803032, 0.427592993]}"
77,"{'pulwama': [0.25404310199999997, 0.213094667, 0.0], 'encounter': [0.010864353, 0.244406283, 0.0], 'pinglish': [0.198143065, 0.081757188, 0.18599379100000002]}"
78,"{'pompeo': [0.177514568, 0.12432335300000001, 0.167683214], 'secretary': [0.433208883, 0.355724245, 0.34697324], 'gokhale': [0.0, 0.0, 0.35588336], 'foreign': [0.16946137, 0.29780358100000004, 0.20636582399999998], 'vijay': [0.0, 0.0, 0.579458535]}"
79,"{'padma': [0.418408275, 0.722025812, 0.240971386], 'renowned': [0.0, 0.0, 0.038765665], 'kovind': [0.377201736, 0.843025267, 0.41796737899999997]}"
80,"{'lok': [0.8735190629999999, 0.540581286, 0.678591251], 'people': [0.15504743199999999, 0.99999845, 0.9999753240000001]}"
81,"{'lok': [0.783911586, 0.586475968, 0.790278733]}"
82,"{'geelani': [0.6300606129999999, 0.0, 0.395874441], 'farooq': [0.17963224600000002, 0.0, 0.160009503], 'mirwaiz': [0.116584614, 0.5283096429999999, 0.0], 'umar': [0.74581331, 0.0, 0.589822054], 'separatist': [0.200628683, 0.0, 0.117269956], 'nia': [0.174510494, 0.096590035, 0.22273919], 'syed': [0.274550855, 0.0, 0.01109468], 'summoned': [0.29426702899999996, 0.0, 0.0], 'agency': [0.24029637899999998, 0.24830299600000003, 0.20073369100000002], 'shah': [0.083807021, 0.0, 0.092391238]}"
83,"{'nirav': [0.17534533100000002, 0.707027435, 0.42474883799999996], 'extradition': [0.165660292, 0.05165362, 0.028571976000000002], 'london': [0.019389501, 0.0, 0.043572154], 'uk': [0.14821383400000002, 0.186519742, 0.110683456], 'request': [0.061913051, 0.110119365, 0.9762989879999999]}"
85,"{'nirav': [0.56237787, 0.61490798, 0.569032013]}"
86,"{'woman': [0.83141911, 0.18754223, 0.183243737], 'day': [0.273971349, 0.260798097, 0.052888635999999996]}"
87,"{'varanasi': [0.0, 0.217637241, 0.421962589]}"
