ID,dd_ndtv_cent,dd_tn_cent,dd_ndtv_emo,dd_tn_emo,dd_ndtv_emotion_score,dd_times_emotion_score,,,dd weighted attention,times weighted attention,ndtv weighted attention
58,0.163034104,0.167720317,0.562523617,0.622686167,"{'sadness': 0.5388395833333335, 'joy': 0.1763846666666667, 'fear': 0.6966173333333334, 'disgust': 1.0290028333333332, 'anger': 0.3717736666666666}","{'sadness': 0.6841528333333333, 'joy': 0.2758356666666667, 'fear': 0.7111846666666668, 'disgust': 0.5646154999999998, 'anger': 0.8776421666666666}",,,0,0,0
59,0.16969697,0.253496503,0.194489978,0.480467072,"{'sadness': 0.45922850000000004, 'joy': 0.024649833333333343, 'fear': 0.12106361111111111, 'disgust': 0.06567544444444443, 'anger': 0.3018325}","{'sadness': 0.6665583611111112, 'joy': 0.21828522222222224, 'fear': 0.4628593888888889, 'disgust': 0.4360593333333333, 'anger': 0.6185730555555556}",,,0,0,0
60,0.194871795,0.030769231,0.1473694,0.284585733,"{'sadness': 0.39052450000000005, 'joy': 0.015540499999999999, 'fear': 0.05861999999999999, 'disgust': 0.043006, 'anger': 0.22915600000000003}","{'sadness': 0.341129, 'joy': 0.05263066666666666, 'fear': 0.38979966666666666, 'disgust': 0.14394933333333335, 'anger': 0.49542}",,,0.172766874,0.150480656,0
61,0.240883286,0.209285659,0.872731953,0.887145441,"{'sadness': 0.606274097222222, 'joy': 1.2368722083333332, 'fear': 0.9532282569444445, 'disgust': 0.9129916597222222, 'anger': 0.6542935416666666}","{'sadness': 0.7245130833333333, 'joy': 1.5042325555555558, 'fear': 0.5829929277777777, 'disgust': 0.8804798055555556, 'anger': 0.7435088333333333}",,,0,0,0
62,0.020833333,0.042613636,0.52173605,0.446629517,"{'sadness': 0.65901075, 'joy': 0.126328, 'fear': 0.31377175, 'disgust': 0.66828325, 'anger': 0.8412864999999998}","{'sadness': 0.3931525833333333, 'joy': 0.22276533333333334, 'fear': 0.32922225000000005, 'disgust': 0.36119125, 'anger': 0.9268161666666668}",,,0.091348888,0,0.023846082
63,0.243086778,0.300344023,0.84349675,0.682995717,"{'sadness': 0.9744674166666666, 'joy': 1.9340335, 'fear': 0.8203536666666666, 'disgust': 0.12585725, 'anger': 0.36277191666666675}","{'sadness': 0.7694924166666667, 'joy': 1.2850628333333334, 'fear': 0.48099316666666664, 'disgust': 0.2521551666666667, 'anger': 0.6272749999999999}",,,0.080825853,0.016420943,0
64,0.226340386,0.170869044,0.689567397,0.864105595,"{'sadness': 0.9491586222222222, 'joy': 0.46499143333333326, 'fear': 0.25227370000000005, 'disgust': 0.6047519055555555, 'anger': 1.1766613222222222}","{'sadness': 1.71236924, 'joy': 0.5405620355555555, 'fear': 0.32706993999999995, 'disgust': 0.5517452333333333, 'anger': 1.1887815266666664}",,,0,0,0.0288414
65,0,0.076167946,0.38254775,0.69791275,"{'sadness': 0.4458885, 'joy': 0.300249, 'fear': 0.18123875, 'disgust': 0.3634597500000001, 'anger': 0.6219027500000001}","{'sadness': 0.97194925, 'joy': 0.541177, 'fear': 0.17688725000000002, 'disgust': 0.43942, 'anger': 1.36013025}",,,0,0,0.011143609
66,0,0.412698413,0,0.3423298,0,"{'sadness': 0.41595024999999997, 'joy': 0.4930497499999999, 'fear': 0.24625675000000002, 'disgust': 0.333603, 'anger': 0.22278925000000002}",,,0,0,0
67,0.352179784,0.122129081,0.156787883,0.5557978,"{'sadness': 0.10098162500000002, 'joy': 0.1464582916666667, 'fear': 0.1561773333333333, 'disgust': 0.19202741666666673, 'anger': 0.18829474999999998}","{'sadness': 0.8752274833333333, 'joy': 0.2455032166666667, 'fear': 1.167863883333333, 'disgust': 0.2775747500000001, 'anger': 0.21281966666666666}",,,0.045753934,0.126310733,0
68,0.11031518,0.103001184,0.256944517,0.767120258,"{'sadness': 0.2313835833333334, 'joy': 0.2108303333333334, 'fear': 0.14899433333333334, 'disgust': 0.3891646666666667, 'anger': 0.30434966666666663}","{'sadness': 0.8544467083333334, 'joy': 0.5551950416666667, 'fear': 0.5585369166666667, 'disgust': 1.1944100416666665, 'anger': 0.6730125833333332}",,,0.059744612,0.064480038,0
